producto;precio;subcategoria;categoria;imagen
MOGOLLA BLANCA HORNEADITOS 10 UND - 400 G;$ 3.390;Panaderia y Reposteria;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000342.png
CHICHARRÓN CARN AMERI LA VICTORIA 100 GR;$ 7.690;Pasabocas y Snacks;Alimentos y despensas;
CRISPETA CARAMELO CHEETOS 72 G;$ 2.190;Pasabocas y Snacks;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000694.png
DE TODITO BBQ 250GR;$ 7.690;Pasabocas y Snacks;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003489.png
LONJAS DE ALMENDRA NUTHOS 100 GR;$ 8.450;Pasabocas y Snacks;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003779.png
MEZCLA NUECES PREMIUM NUTHOS;$ 7.590;Pasabocas y Snacks;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003800.png
PATACÓN PISAO PLATAITOS 80 G;$ 3.990;Pasabocas y Snacks;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000223.png
TORTILLA BURRITO CRACHOS 8 UND - 580 G;$ 6.490;Pasabocas y Snacks;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000225.png
MANÍ SALADO NUTHOS 200 G;$ 3.990;Pasabocas y Snacks;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000323.png
MANÍ DULCE NUTHOS 200 G;$ 3.790;Pasabocas y Snacks;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000324.png
PASABOCAS SURTIDOS DOCENA KYTHOS 318 G;$ 9.350;Pasabocas y Snacks;Alimentos y despensas;
ARÁNDANOS NUTHOS 150 G;$ 6.350;Pasabocas y Snacks;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000407.png
MANÍ CON PASAS NUTHOS 200 G;$ 3.990;Pasabocas y Snacks;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000502.png
MONEDITAS DE PLÁTANO PLATAITOS 6 UND - 60 G;$ 9.990;Pasabocas y Snacks;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000554.png
CIRUELA PREMIUM SIN SEMILLA NUTHOS 200 GRS;$ 6.990;Pasabocas y Snacks;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12001027.png
PASABOCAS MIXTO BBQ KYTHOS 160 G;$ 4.190;Pasabocas y Snacks;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12001066.png
PISTACHO NUTHOS 70 G;$ 6.150;Pasabocas y Snacks;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12001121.png
ALMENDRA NUTHOS 150 G;$ 8.290;Pasabocas y Snacks;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12001205.png
MAÍZ GIGANTE FRITO SALADO NUTHOS 200 G;$ 7.990;Pasabocas y Snacks;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12001238.png
TORTILLA INTEGRAL NATRI 8 UND- 250 G;$ 3.990;Pasabocas y Snacks;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12001257.png
MEZCLA CRUNCHY NUTHOS 180 G;$ 6.890;Pasabocas y Snacks;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12001313.png
PALOMITAS PARA MICROONDAS SABOR CARAMELO KYTHOS;$ 3.490;Pasabocas y Snacks;Alimentos y despensas;
MEZCLA SALADA FRUTOS SECOS NUTHOS 180 G;$ 5.850;Pasabocas y Snacks;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12001617.png
DORITOS FAMILIAR 175 GRS;$ 5.990;Pasabocas y Snacks;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002003.png
UVAS PASAS NUTHOS 200 G;$ 3.190;Pasabocas y Snacks;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002025.png
MIXTO MEGA FAMILIAR KYTHOS 350 GR;$ 7.850;Pasabocas y Snacks;Alimentos y despensas;
SEXTA PAPA SABOR POLLO KYTHOS 25 G;$ 5.490;Pasabocas y Snacks;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002418.png
MEZCLAS SURTIDAS NUTHOS 5 UND - 45G;$ 7.490;Pasabocas y Snacks;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002501.png
LONCHERA SURTIDA FRITOLAY 12 UN 261 GR;$ 9.990;Pasabocas y Snacks;Alimentos y despensas;
LONCHERA SURTIDA AZOMPACK 12 UN;$ 6.150;Pasabocas y Snacks;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002939.png
PLATANITOS VERDES KYTHOS 135 GR;$ 3.990;Pasabocas y Snacks;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003501.png
CONCHAS DORIA 250 G;$ 2.150;Pasta;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003260.png
CABELLO DE ÁNGEL DORIA 250 G;$ 2.150;Pasta;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003263.png
SPAGUETTI CAPRÍSSIMA 250 GRS;$ 1.350;Pasta;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000066.png
CONCHA CAPRÍSSIMA 250 GRS;$ 1.350;Pasta;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000067.png
CABELLO DE ÁNGEL CAPRÍSSIMA 250 GRS;$ 1.350;Pasta;Alimentos y despensas;
SPAGHETTI DELIZIARE 500 G;$ 3.990;Pasta;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000286.png
PENNE DELIZIARE 500 G;$ 3.990;Pasta;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000287.png
FUSILLI MIXTO DELIZIARE 500 G;$ 5.990;Pasta;Alimentos y despensas;
PASTA PARA LASAGNA DELIZIARE X 450 GR;$ 7.990;Pasta;Alimentos y despensas;
SPAGHETTI DORIA 250 G;$ 2.150;Pasta;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003256.png
MACARRÓN CON SALSA DE QUESO DORIA 210 G;$ 3.490;Pasta;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003335.png
TAMAL TOLIMENSE 2 UND 400 G;$ 8.490;Platos preparados;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003592.png
PIZZA DE JAMÓN Y QUESO / HAWAIANA BACKEREI 130 ;$ 4.100;Platos preparados;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000395.png
RAMEN NISSIN SABOR CARNE 85 G;$ 2.490;Platos preparados;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12004580.png
RAMEN NISSIN SABOR POLLO 85 G;$ 2.490;Platos preparados;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12004591.png
QUINUA ESTILO ESPAÑOL 227 G KITCHEN LOVE;$ 9.290;Platos preparados;Alimentos y despensas;
FLAN DE LECHE CON CARAMELO LATTI 150 G;$ 3.750;Postres listos;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000183.png
POSTRE DE GELATINA CON LECHE KEDELI 180 G;$ 3.650;Postres listos;Alimentos y despensas;
ARROZ CON LECHE TRADICIÓN 1915 120 G;$ 2.290;Postres listos;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003145.png
LECHE ASADA TRADICIÓN 1915 120 G;$ 3.390;Postres listos;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003146.png
POSTRE TRES LECHES 86 G;$ 3.750;Postres listos;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12001898.png
SALSA MAYOMOSTAZA CON ESPECIAS SHOWY 200 GR;$ 3.890;Salsas y Aderezos;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000507.png
VINAGRETA RANCH ZEV X 240 GR;$ 3.890;Salsas y Aderezos;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000610.png
VINAGRETA SURTIDA ZEV X 240GR;$ 3.890;Salsas y Aderezos;Alimentos y despensas;
MAYONESA FRUCO 480 G;$ 7.750;Salsas y Aderezos;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003052.png
SALSA TÁRTARA ZEV 200GR;$ 2.190;Salsas y Aderezos;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003736.png
ESENCIA DE VAINILLA SPECIARIA 155ML;$ 2.190;Salsas y Aderezos;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003758.png
SALSA DE TOMATE FRUCO 650G;$ 7.890;Salsas y Aderezos;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003759.png
SALSA DE AJÍ PICANTE MASH 175 GR;$ 1.950;Salsas y Aderezos;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003801.png
PASTA DE TOMATE ZEV 200 G;$ 2.990;Salsas y Aderezos;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000264.png
MOSTAZA ZEV 200 G;$ 1.990;Salsas y Aderezos;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000265.png
MAYONESA BAJA EN GRASA ZEV 500 G;$ 3.490;Salsas y Aderezos;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000305.png
MAYONESA CON MOSTAZA ZEV 200 GRS;$ 2.490;Salsas y Aderezos;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000322.png
SALSA BBQ MASH 550 G;$ 5.450;Salsas y Aderezos;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000508.png
VINAGRETA LIGHT ZEV 265 G;$ 3.950;Salsas y Aderezos;Alimentos y despensas;
AJÍ PICANTE MASH 250 G;$ 2.990;Salsas y Aderezos;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000639.png
MIEL DE ABEJAS MEEL 350 G;$ 8.990;Salsas y Aderezos;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000826.png
SALSA ROSADA ZEV 200 G;$ 1.650;Salsas y Aderezos;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000828.png
SALSA PESTO VERDE DELIZIARE X 190 G;$ 6.990;Salsas y Aderezos;Alimentos y despensas;
MERMELADA DE MORA ZEV 200 G;$ 1.990;Salsas y Aderezos;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12001687.png
SYRUP QUICKSY 355 ML;$ 5.990;Salsas y Aderezos;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12001807.png
SALSA DE PIÑA ZEV X 200 GR;$ 2.050;Salsas y Aderezos;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002085.png
SALSA MEXICANA CRACHOS 220 G;$ 5.990;Salsas y Aderezos;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002574.png
SALSA TERIYAKI ZEV 190 GR;$ 2.190;Salsas y Aderezos;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003608.png
VINAGRE DE SIDRA DE MANZANA NATRI 250ML;$ 3.990;Salsas y Aderezos;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003654.png
VINAGRE BLANCO ZEV 1000 ML;$ 2.990;Salsas y Aderezos;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003655.png
SALSA DE QUESO CRACHOS 200 G;$ 3.990;Salsas y Aderezos;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000150.png
GUACAMOLE CRACHOS 200 G;$ 3.290;Salsas y Aderezos;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000295.png
VINAGRE BLANCO ZEV 500 ML;$ 1.850;Salsas y Aderezos;Alimentos y despensas;
SALSA PARA CARNES ZEV 195 G;$ 1.890;Salsas y Aderezos;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000439.png
SALSA DE SOYA ZEV 190 G;$ 1.450;Salsas y Aderezos;Alimentos y despensas;
PERA VERDE IMPORTADA 1000 G;$ 9.990;Verduras y Frutas;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000567.png
MANZANA ROYAL GALA 1000 GRS;$ 10.590;Verduras y Frutas;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000109.png
PLÁTANO HARTÓN 1000 G;$ 5.790;Verduras y Frutas;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000110.png
AJO MALLA 3 UNIDADES - 100 G;$ 1.450;Verduras y Frutas;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002709.png
PAPA CAPIRA 2000 GRS;$ 5.690;Verduras y Frutas;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000038.png
CEBOLLA CABEZONA 500 G;$ 690;Verduras y Frutas;Alimentos y despensas;
UVAS IMPORTADAS RED GLOBE 500 G X 1 UND;$ 7.990;Verduras y Frutas;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12001221.png
ARÁNDANOS 125 G;$ 4.990;Verduras y Frutas;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002590.png
BANANO UNIDAD;$ 400;Verduras y Frutas;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12005468.png
NARANJA X 2000 GR;$ 5.990;Verduras y Frutas;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000182.png
LIMÓN TAHITÍ 500 G;$ 2.250;Verduras y Frutas;Alimentos y despensas;
AFEITADORA RECARGABLE MANGO + 2 REPUETOS GILLET;$ 11.490;Afeitado;Aseo y Cuidado Personal;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003311.png
REPUESTOS PARA AFEITADORA GILLETTE 4 UND;$ 11.490;Afeitado;Aseo y Cuidado Personal;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003314.png
MÁQUINA PARA AFEITAR 3 HOJAS HOMBRE XEN 2 UND;$ 2.990;Afeitado;Aseo y Cuidado Personal;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000087.png
ESPUMA PARA AFEITAR XEN 300 ML;$ 6.590;Afeitado;Aseo y Cuidado Personal;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12001738.png
MÁQUINA PARA AFEITAR 3 HOJAS MUJER XEN 2 UND;$ 2.990;Afeitado;Aseo y Cuidado Personal;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000088.png
KOLA GRANULADA TARRITO ROJO 210 G;$ 9.190;Botiquín;Aseo y Cuidado Personal;
ALKA-SELTZER TABLETA EFERVESCENTE 6 UND;$ 5.100;Botiquín;Aseo y Cuidado Personal;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002677.png
APRONAX TABLETA 8 UND - 275 MG;$ 8.590;Botiquín;Aseo y Cuidado Personal;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002678.png
ASPIRINA ULTRA TABLETA 8 UND - 500 MG;$ 4.290;Botiquín;Aseo y Cuidado Personal;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002679.png
GAVISCON EN SACHET 6 UND;$ 9.890;Botiquín;Aseo y Cuidado Personal;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002836.png
VITAMINA C EN TABLETAS MASTICABLE CEBION 8 UND...;$ 4.490;Botiquín;Aseo y Cuidado Personal;
SEVEDOL EXTRAFUERTE TABLETA 6 UND;$ 6.290;Botiquín;Aseo y Cuidado Personal;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002916.png
CONDONES DUREX EXTRASEGURO 3 UNIDADES;$ 6.990;Botiquín;Aseo y Cuidado Personal;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002974.png
TAPABOCAS TRIPLE CAPA DESECHABLE;$ 350;Botiquín;Aseo y Cuidado Personal;
ALCOHOL ANTISÉPTICO PURIX 375 ML;$ 2.890;Botiquín;Aseo y Cuidado Personal;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003210.png
ACETAMINOFEN CAPSULAS DOLOFEN 10 UND;$ 5.750;Botiquín;Aseo y Cuidado Personal;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003561.png
PASTILLA GARGANTA STREPSILES 8 UND;$ 9.650;Botiquín;Aseo y Cuidado Personal;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003671.png
ACTRON MAX® IBUPROFENO CAPSULAS LIQUIDAS X 4 UN...;$ 4.950;Botiquín;Aseo y Cuidado Personal;
EMULSIÓN DE SCOTT TRADICIONAL 180 ML;$ 9.490;Botiquín;Aseo y Cuidado Personal;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12004316.png
NUTREN LIQUIDO VAINILLA 200 ML;$ 6.990;Botiquín;Aseo y Cuidado Personal;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12005945.png
TAPABOCAS DESECHABLE PACKX15;$ 4.990;Botiquín;Aseo y Cuidado Personal;
MULTIVITAMINICO CON MINERALES X 10 UND;$ 6.490;Botiquín;Aseo y Cuidado Personal;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12004716.png
VITAMINA E 400 UI CÁPSULAS X 10 UND;$ 3.790;Botiquín;Aseo y Cuidado Personal;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12004732.png
VICK VAPORUB LATA 12 G;$ 4.490;Botiquín;Aseo y Cuidado Personal;
VITAMINA D3 2000 UI CÁPSULAS X 10 UND;$ 5.090;Botiquín;Aseo y Cuidado Personal;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12004714.png
COMPLEJO B CÁPSULAS X 10 UND;$ 5.090;Botiquín;Aseo y Cuidado Personal;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12004731.png
MULTIVITAMÍNICO NUTREPRO VAINILLA 200 G;$ 13.990;Botiquín;Aseo y Cuidado Personal;
OMEGA 3 CAPSULAS X 10 UND;$ 5.990;Botiquín;Aseo y Cuidado Personal;
NOXPIRIN DÍA NOCHE SURTIDO CAJA X3 UND;$ 3.990;Botiquín;Aseo y Cuidado Personal;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12005523.png
REMOVEDOR DE ESMALTE NATURAL FEELING 250ML...;$ 5.250;Cosmética y maquillaje;Aseo y Cuidado Personal;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12001181.png
PLUMON DELINEADOR OJOS USK;$ 9.990;Cosmética y maquillaje;Aseo y Cuidado Personal;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003825.png
POLVO COMPACTO DORÉ USK;$ 14.990;Cosmética y maquillaje;Aseo y Cuidado Personal;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003829.png
POLVO COMPACTO CANELA USK;$ 14.990;Cosmética y maquillaje;Aseo y Cuidado Personal;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003830.png
POLVO COMPACTO ARENA;$ 14.990;Cosmética y maquillaje;Aseo y Cuidado Personal;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003835.png
GEL CEJAS USHIKO 1 UN;$ 10.990;Cosmética y maquillaje;Aseo y Cuidado Personal;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003826.png
PERFILADOR CEJAS MICROFILLING USK;$ 10.990;Cosmética y maquillaje;Aseo y Cuidado Personal;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003827.png
CORRECTOR OJERAS USK;$ 10.990;Cosmética y maquillaje;Aseo y Cuidado Personal;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003828.png
RUBOR ILUMINADOR USK;$ 12.990;Cosmética y maquillaje;Aseo y Cuidado Personal;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003831.png
LABIAL CRAYON NO TRANSFER ROJOS;$ 12.990;Cosmética y maquillaje;Aseo y Cuidado Personal;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003833.png
LABIAL CRAYON NO TRANSFER - CAJA SURTIDA 2 TONO...;$ 12.990;Cosmética y maquillaje;Aseo y Cuidado Personal;
PESTAÑINA FALSIES MAYBELLINE NEGRA;$ 19.990;Cosmética y maquillaje;Aseo y Cuidado Personal;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003640.png
BASE LIQUIDA MATIFICANTE USK;$ 14.990;Cosmética y maquillaje;Aseo y Cuidado Personal;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003832.png
BASE PARA UÑAS Y BRILLO USHIKO 11 ML;$ 4.990;Cosmética y maquillaje;Aseo y Cuidado Personal;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12004260.png
ESMALTE SURTIDO USHIKO 11 ML;$ 4.990;Cosmética y maquillaje;Aseo y Cuidado Personal;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12004261.png
LABIAL LIQUIDO SURTIDO ROJOS USHIKO;$ 12.990;Cosmética y maquillaje;Aseo y Cuidado Personal;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12004394.png
LABIAL LIQUIDO SURTIDO ROSA USHIKO;$ 12.990;Cosmética y maquillaje;Aseo y Cuidado Personal;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12004395.png
SOMBRAS SURTIDAS PARA OJOS USK 9G;$ 13.990;Cosmética y maquillaje;Aseo y Cuidado Personal;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12004655.png
CUARTETO RUBOR ILUMINADOR USHIKO;$ 21.990;Cosmética y maquillaje;Aseo y Cuidado Personal;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12004406.png
LAPIZ RETRACTIL PARA CEJAS;$ 12.990;Cosmética y maquillaje;Aseo y Cuidado Personal;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12005173.png
LAPIZ RETRACTIL PARA OJOS SURTIDO;$ 14.990;Cosmética y maquillaje;Aseo y Cuidado Personal;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12005113.png
CREMA COLORANTE CAPILAR NUTRISSE ALMENDRA 1 UND...;$ 9.990;Cuidado capilar;Aseo y Cuidado Personal;
GEL EGO EXTREME ULTRA 240 ML;$ 7.490;Cuidado capilar;Aseo y Cuidado Personal;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003312.png
SHAMPOO ANTICASPA XEN 400 ML;$ 7.990;Cuidado capilar;Aseo y Cuidado Personal;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000715.png
SHAMPOO 2 EN 1 KOLORS 400 ML;$ 6.990;Cuidado capilar;Aseo y Cuidado Personal;
ACONDICIONADOR KOLORS 300 ML;$ 6.990;Cuidado capilar;Aseo y Cuidado Personal;
MASCARILLA CAPILAR REPARADORA KOLORS 250 ML...;$ 7.990;Cuidado capilar;Aseo y Cuidado Personal;
SHAMPOO HIDRATANTE/REGENERADOR NATURAL FEELING ...;$ 6.590;Cuidado capilar;Aseo y Cuidado Personal;
CREMA COLORANTE CAPILAR 50 CASTAÑO 1UN;$ 9.990;Cuidado capilar;Aseo y Cuidado Personal;
ACONDICIONADOR ELVIVE REPARADOR 350 ML;$ 15.850;Cuidado capilar;Aseo y Cuidado Personal;
